playKey	playDesc	team	season	week	gameId	playId
430	(4:55) (No Huddle, Shotgun) T.Brady pass short right to J.Gordon for 20 yards, TOUCHDOWN.	NE	2019	1	2019090812	570
431	(5:35) (No Huddle, Shotgun) J.Edelman pass short left to J.White to PIT 20 for 32 yards (C.Sutton).	NE	2019	1	2019090812	546
432	(1:24) (Shotgun) T.Brady pass deep left to A.Brown for 20 yards, TOUCHDOWN.	NE	2019	2	2019091505	1423
433	(4:19) (Shotgun) T.Brady pass deep left to J.Gordon pushed ob at NYJ 4 for 28 yards (D.Roberts).	NE	2019	3	2019092206	2691
434	(8:43) (Shotgun) D.Jones pass short right to J.Hilliman to NYG 26 for -7 yards (J.Collins). FUMBLES (J.Collins), RECOVERED by NE-K.Van Noy at NYG 22. K.Van Noy ran ob at NYG 2 for 20 yards (D.Jones). The Replay Official reviewed the runner was out of bounds ruling, and the play was REVERSED. (Shotgun) D.Jones pass short right to J.Hilliman to NYG 26 for -7 yards (J.Collins). FUMBLES (J.Collins), touched at NYG 25, RECOVERED by NE-K.Van Noy at NYG 22. K.Van Noy for 22 yards, TOUCHDOWN.	NE	2019	6	2019101000	3335
435	(11:28) (No Huddle, Shotgun) J.Edelman pass short right to P.Dorsett for 15 yards, TOUCHDOWN.	NE	2019	11	2019111710	2493
436	(12:43) T.Brady pass deep right to J.Edelman for 37 yards, TOUCHDOWN. flea flicker	NE	2019	14	2019120811	211
437	(7:32) (Shotgun) A.Dalton pass short right intended for T.Boyd INTERCEPTED by S.Gilmore at NE 36. S.Gilmore for 64 yards, TOUCHDOWN.	NE	2019	15	2019121501	2512
438	(4:16) E.Roberts reported in as eligible.  S.Michel left guard ran ob at TEN 40 for 25 yards (K.Byard).	NE	2019	18	2020010401	698
439	(8:06) (Shotgun) D.Watson pass deep middle intended for K.Allen INTERCEPTED by H.Smith at NFC 3. H.Smith to NFC 39 for 36 yards. Lateral to F.Cox for 61 yards, TOUCHDOWN.	NFC	2019	21	2020012600	2435
440	(13:47) (Shotgun) D.Brees pass short middle to A.Kamara ran ob at HST 30 for 41 yards (J.Reid). Pass 6, YAC 35	NO	2019	1	2019090900	2254
441	(2:24) T.Bridgewater pass short left to A.Kamara to NO 25 for 18 yards (M.Blair).	NO	2019	3	2019092211	2780
442	(:39) (Shotgun) J.Garoppolo pass short left to G.Kittle to NO 28 for 39 yards (M.Williams; C.Gardner-Johnson). PENALTY on NO-M.Williams, Face Mask (15 Yards), 14 yards, enforced at NO 28. Pass 7, YAC 31	NO	2019	14	2019120806	4640
443	(1:00) (Shotgun) D.Brees pass short left to T.Smith for 18 yards, TOUCHDOWN. Pass 5, YAC 13	NO	2019	14	2019120806	4471
444	(6:12) (Shotgun) D.Brees pass short left to M.Thomas for 21 yards, TOUCHDOWN. Pass 14, YAC 7	NO	2019	14	2019120806	3861
445	(7:13) D.Brees pass short left to J.Hill for 5 yards, TOUCHDOWN. Pass 5, YAC 0	NO	2019	15	2019121600	2402
446	(2:16) D.Brees pass short right to M.Thomas for 2 yards, TOUCHDOWN.	NO	2019	16	2019122210	4253
447	(3:14) (Shotgun) D.Brees pass short left to M.Thomas for 14 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. (Shotgun) D.Brees pass short left to M.Thomas to TEN 1 for 13 yards (L.Ryan).	NO	2019	16	2019122210	4178
448	(14:07) A.Kamara left guard for 40 yards, TOUCHDOWN.	NO	2019	16	2019122210	2421
449	(10:54) (Shotgun) A.Kamara up the middle for 15 yards, TOUCHDOWN.	NO	2019	17	2019122902	220
450	(10:37) (Shotgun) D.Brees pass deep left to T.Hill for 20 yards, TOUCHDOWN. Pass 20, YAC 0	NO	2019	18	2020010500	3227
451	(10:09) (Shotgun) N.Easton reported in as eligible.  T.Hill pass deep middle to D.Harris to MIN 4 for 50 yards (X.Rhodes).	NO	2019	18	2020010500	1212
452	(11:25) S.Barkley up the middle pushed ob at DAL 23 for 59 yards (C.Awuzie).	NYG	2019	1	2019090810	249
453	(11:25) S.Barkley up the middle pushed ob at DAL 23 for 59 yards (C.Awuzie).	NYG	2019	1	2019090810	249
454	(12:45) S.Barkley right end for 27 yards, TOUCHDOWN.	NYG	2019	2	2019091506	140
455	(1:21) (Shotgun) D.Jones scrambles up the middle for 7 yards, TOUCHDOWN.	NYG	2019	3	2019092209	4197
456	(15:00) (Shotgun) D.Jones pass short left to E.Engram for 75 yards, TOUCHDOWN.	NYG	2019	3	2019092209	2375
457	(10:06) (Shotgun) D.Jones right end for 7 yards, TOUCHDOWN.	NYG	2019	3	2019092209	1188
458	(1:29) (Shotgun) D.Jones pass short middle to E.Engram pushed ob at WAS 31 for 31 yards (J.Bostic).	NYG	2019	4	2019092907	1885
459	(12:16) (Shotgun) D.Jones pass deep left to D.Slayton for 35 yards, TOUCHDOWN.	NYG	2019	5	2019100604	1020
460	(4:54) (Shotgun) T.Brady sacked at NE 43 for -9 yards (L.Carter). FUMBLES (L.Carter), RECOVERED by NYG-M.Golden at NE 42. M.Golden for 42 yards, TOUCHDOWN. NE-J.Gordon was injured during the play.	NYG	2019	6	2019101000	1690
461	(6:15) (No Huddle, Shotgun) D.Jones pass deep right to G.Tate for 64 yards, TOUCHDOWN.	NYG	2019	6	2019101000	1586
462	(8:12) (Shotgun) E.Manning pass deep middle to G.Tate for 51 yards, TOUCHDOWN. Penalty on MIA-N.Needham, Defensive Pass Interference, declined.	NYG	2019	15	2019121505	1248
463	(4:19) (Shotgun) D.Jones pass short middle to K.Smith for 3 yards, TOUCHDOWN.	NYG	2019	16	2019122211	4805
464	(6:58) S.Barkley right guard for 67 yards, TOUCHDOWN.	NYG	2019	16	2019122211	449
465	(2:16) (Shotgun) S.Barkley right tackle for 68 yards, TOUCHDOWN.	NYG	2019	17	2019122911	3165
466	TWO-POINT CONVERSION ATTEMPT. D.Prescott pass to J.Witten is incomplete. ATTEMPT FAILS.	NYJ	2019	6	2019101310	4178
467	(3:46) S.Darnold pass deep right to Ro.Anderson for 92 yards, TOUCHDOWN.	NYJ	2019	6	2019101310	1630
468	(1:44) (Shotgun) S.Darnold pass short middle to J.Crowder for 23 yards, TOUCHDOWN.	NYJ	2019	10	2019111005	716
469	(13:18) (No Huddle, Shotgun) S.Darnold pass deep left to J.Crowder for 29 yards, TOUCHDOWN.	NYJ	2019	11	2019111707	3311
470	(11:58) (No Huddle, Shotgun) S.Darnold pass deep left to D.Brown for 20 yards, TOUCHDOWN.	NYJ	2019	11	2019111707	299
471	(13:32) (Shotgun) C.McDermott reported in as eligible.  S.Darnold pass short right to J.Crowder for 4 yards, TOUCHDOWN.	NYJ	2019	15	2019121200	1043
472	(3:44) (Shotgun) L.Jackson scrambles right guard ran ob at NYJ 5 for 25 yards (B.Austin).	NYJ	2019	15	2019121200	711
473	(7:55) (Shotgun) M.Ingram II left tackle for 6 yards, TOUCHDOWN.	NYJ	2019	15	2019121200	407
474	(10:32) S.Darnold pass deep middle to Ro.Anderson for 23 yards, TOUCHDOWN.	NYJ	2019	16	2019122209	235
475	(11:58) J.Jacobs right tackle to KC 30 for 51 yards (C.Ward).	OAK	2019	2	2019091510	2804
476	(2:17) (Shotgun) J.Brissett pass short left intended for Z.Pascal INTERCEPTED by E.Harris at IND 30. E.Harris for 30 yards, TOUCHDOWN.	OAK	2019	4	2019092905	4148
477	(8:13) T.Davis left end for 60 yards, TOUCHDOWN.	OAK	2019	4	2019092905	429
478	(6:14) (Shotgun) P.Rivers pass short middle intended for H.Henry INTERCEPTED by E.Harris [M.Crosby] at OAK 44. E.Harris for 56 yards, TOUCHDOWN. Penalty on LAC-T.Scott, Offensive Holding, declined.	OAK	2019	10	2019110700	539
479	(10:50) (Shotgun) D.Carr pass deep right to R.Gafford for 49 yards, TOUCHDOWN.	OAK	2019	14	2019120812	1125
480	(11:38) D.Carr pass short middle to T.Williams for 40 yards, TOUCHDOWN.	OAK	2019	15	2019121510	184
481	(4:27) (Shotgun) C.Wentz pass deep middle to D.Jackson for 51 yards, TOUCHDOWN.	PHI	2019	1	2019090806	1496
482	(11:52) (Shotgun) C.Wentz pass short middle to A.Jeffery for 6 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on PHI-Z.Ertz, Offensive Pass Interference, 10 yards, enforced at GB 6 - No Play. The Replay Official reviewed the offensive pass interference ruling, and the play was REVERSED. (Shotgun) C.Wentz pass short middle to A.Jeffery for 6 yards, TOUCHDOWN.	PHI	2019	4	2019092600	1079
483	(14:14) (Shotgun) M.Sanders up the middle for 65 yards, TOUCHDOWN.	PHI	2019	8	2019102701	2281
484	(9:04) (Shotgun) M.Rudolph pass deep right to J.Smith-Schuster to SEA 16 for 45 yards (D.Hill). Fleaflicker play. 30-Conner took the hand off before the pass.	PIT	2019	2	2019091507	2765
485	(2:36) (Shotgun) B.Hoyer pass deep middle intended for J.Doyle INTERCEPTED by M.Fitzpatrick [C.Heyward] at PIT 4. M.Fitzpatrick for 96 yards, TOUCHDOWN.	PIT	2019	9	2019110306	1401
486	(11:22) (Shotgun) D.Hodges pass deep middle to J.Washington for 79 yards, TOUCHDOWN.	PIT	2019	12	2019112403	2295
487	(3:13) A.Lee punts 60 yards to PIT 15, Center-A.Brewer. D.Johnson for 85 yards, TOUCHDOWN.	PIT	2019	14	2019120810	653
488	(8:15) R.Wilson pass deep right to DK.Metcalf for 40 yards, TOUCHDOWN.	SEA	2019	5	2019100300	1498
489	(:59) G.Fant reported in as eligible.  R.Wilson pass short left to T.Lockett for 13 yards, TOUCHDOWN.	SEA	2019	5	2019100300	882
490	(:27) (Shotgun) R.Wilson pass deep right to J.Brown for 17 yards, TOUCHDOWN [J.Schobert].	SEA	2019	6	2019101302	2191
491	(8:07) (Shotgun) R.Wilson pass short left to T.Lockett for 2 yards, TOUCHDOWN.	SEA	2019	9	2019110308	2668
492	(10:49) G.Fant reported in as eligible.  C.Carson right tackle to TB 26 for 59 yards (D.White). FUMBLES (D.White), ball out of bounds at TB 24.	SEA	2019	9	2019110308	2554
493	(8:12) (Shotgun) R.Wilson pass deep right to M.Turner to SF 32 for 28 yards (J.Ward). Caught at SF 44.  12-yac The Replay Official reviewed the runner was inbounds ruling, and the play was Upheld. The ruling on the field stands.	SEA	2019	10	2019111100	4597
494	(2:57) (Shotgun) J.Garoppolo sacked at SF 14 for -9 yards (J.Reed). FUMBLES (J.Reed) [J.Reed], RECOVERED by SEA-J.Clowney at SF 10. J.Clowney for 10 yards, TOUCHDOWN.	SEA	2019	10	2019111100	1618
495	(12:05) (Shotgun) R.Penny up the middle for 58 yards, TOUCHDOWN.	SEA	2019	12	2019112411	3154
496	(6:03) R.Wilson pass deep right to M.Turner for 33 yards, TOUCHDOWN.	SEA	2019	12	2019112411	560
497	(:13) (Shotgun) R.Wilson pass deep left to D.Moore for 60 yards, TOUCHDOWN.	SEA	2019	13	2019120200	2788
498	(5:18) (Shotgun) R.Wilson pass short middle intended for J.Hollister INTERCEPTED by A.Harris (A.Watts) at SEA 20. A.Harris for 20 yards, TOUCHDOWN.	SEA	2019	13	2019120200	1267
499	(5:27) (Shotgun) R.Wilson pass deep left to DK.Metcalf for 19 yards, TOUCHDOWN.	SEA	2019	15	2019121500	552
500	(5:53) (Shotgun) R.Wilson pass short left to T.Lockett for 14 yards, TOUCHDOWN.	SEA	2019	17	2019122915	2344
501	(8:55) R.Wilson pass deep left to DK.Metcalf for 53 yards, TOUCHDOWN.	SEA	2019	18	2020010501	2688
502	(1:11) M.Lynch left end for 5 yards, TOUCHDOWN.	SEA	2019	18	2020010501	2097
503	(1:36) (Shotgun) R.Wilson pass short right to D.Moore to PHI 5 for 38 yards (M.Jenkins).	SEA	2019	18	2020010501	1978
504	(6:27) (Shotgun) A.Rodgers sacked at SEA 48 for -8 yards (Sm.Griffin).	SEA	2019	19	2020011201	3443
505	(2:42) J.Garoppolo pass short left to R.Mostert for 39 yards, TOUCHDOWN.	SF	2019	2	2019091501	735
506	(13:17) (Shotgun) B.Mayfield pass deep middle intended for A.Callaway INTERCEPTED by R.Sherman [N.Bosa] at SF 46. R.Sherman to CLV 41 for 13 yards (A.Callaway).	SF	2019	5	2019100700	300
507	(13:28) M.Breida left guard for 83 yards, TOUCHDOWN.	SF	2019	5	2019100700	247
508	(:04) (Shotgun) K.Allen pass short left intended for R.Bonnafon INTERCEPTED by N.Bosa at SF 45. N.Bosa to CAR 9 for 46 yards (D.Moore).	SF	2019	8	2019102709	3327
509	(6:02) (Shotgun) J.Garoppolo pass deep right to D.Pettis for 21 yards, TOUCHDOWN.	SF	2019	9	2019103100	2872
510	(:13) (Shotgun) J.Garoppolo pass short middle to G.Kittle for 30 yards, TOUCHDOWN.	SF	2019	9	2019103100	974
511	(5:49) (Shotgun) R.Wilson pass short right intended for J.Hollister INTERCEPTED by D.Greenlaw [K.Williams] at SF 4. D.Greenlaw pushed ob at SEA 49 for 47 yards (D.Brown).	SF	2019	10	2019111100	4738
512	(12:12) R.Wilson sacked at SEA 25 for -10 yards (sack split by A.Armstead and K.Williams). FUMBLES (A.Armstead) [K.Williams], recovered by SEA-G.Ifedi at SEA 23. G.Ifedi to SEA 18 for -5 yards (F.Warner). FUMBLES (F.Warner), RECOVERED by SF-D.Buckner at SEA 12. D.Buckner for 12 yards, TOUCHDOWN.	SF	2019	10	2019111100	3345
513	(6:08) E.Sanders pass deep right to R.Mostert for 35 yards, TOUCHDOWN. Garoppolo handed off to Samuel, who lateralled back to Sanders, who threw to Mostert.  Pass 22, YAC 13.	SF	2019	14	2019120806	1596
514	(:58) (Shotgun) J.Garoppolo pass deep middle to E.Sanders to LA 23 for 46 yards (J.Ramsey). Caught at LA 28.  5-yac	SF	2019	16	2019122102	4121
515	(5:28) R.Woods left end to LA 27 for no gain (F.Warner).	SF	2019	16	2019122102	3744
516	(6:14) J.Garoppolo pass short right to G.Kittle for 7 yards, TOUCHDOWN. Caught at LA -2.  0-yac	SF	2019	16	2019122102	3611
517	(8:54) J.Garoppolo pass short left to G.Kittle to SF 45 for 36 yards (C.Littleton). Caught at SF 22.  23-yac	SF	2019	16	2019122102	3468
518	(12:14) (Shotgun) D.Samuel left end for 19 yards, TOUCHDOWN.	SF	2019	16	2019122102	1184
519	(1:14) M.Wishnowsky punts 54 yards to MIN 20, Center-K.Nelson. M.Sherels MUFFS catch, touched at MIN 18, RECOVERED by SF-R.Mostert at MIN 10. R.Mostert to MIN 10 for no gain (M.Sherels).	SF	2019	19	2020011100	2539
520	(3:44) (Shotgun) K.Cousins pass incomplete deep left to K.Rudolph (E.Moseley) [D.Ford].	SF	2019	19	2020011100	2431
521	(4:56) R.Mostert left end for 22 yards, TOUCHDOWN.	SF	2019	20	2020011901	2397
522	(6:07) D.Samuel right end to GB 22 for 32 yards (D.Lowry).	SF	2019	20	2020011901	2352
523	(9:17) (Shotgun) R.Mostert left end for 9 yards, TOUCHDOWN.	SF	2019	20	2020011901	996
524	(6:01) (Shotgun) R.Mostert left tackle for 36 yards, TOUCHDOWN.	SF	2019	20	2020011901	416
525	(3:44) (Shotgun) P.Mahomes pass deep right to S.Watkins pushed ob at SF 10 for 38 yards (J.Ward).	SF	2019	22	2020020200	3406
526	(6:17) P.Mahomes pass short right to T.Kelce for 1 yard, TOUCHDOWN.	SF	2019	22	2020020200	3187
527	(7:13) (Shotgun) P.Mahomes pass deep left to T.Hill to SF 21 for 44 yards (J.Ward) [D.Buckner].	SF	2019	22	2020020200	3086
528	(5:36) (Shotgun) P.Mahomes pass deep right intended for T.Hill INTERCEPTED by F.Warner at SF 42. F.Warner to SF 45 for 3 yards (T.Hill).	SF	2019	22	2020020200	2202
529	(5:13) J.Garoppolo pass short right to K.Juszczyk for 15 yards, TOUCHDOWN.	SF	2019	22	2020020200	1343
530	(12:33) (Shotgun) D.Samuel right end pushed ob at KC 40 for 32 yards (T.Mathieu).	SF	2019	22	2020020200	197
531	(9:54) (Shotgun) J.Winston pass deep right to M.Evans for 21 yards, TOUCHDOWN [J.Peppers].	TB	2019	3	2019092209	256
532	(1:17) (Shotgun) J.Goff sacked at LA 43 for -11 yards (S.Barrett). FUMBLES (S.Barrett) [S.Barrett], RECOVERED by TB-N.Suh at LA 37. N.Suh for 37 yards, TOUCHDOWN.	TB	2019	4	2019092909	5000
533	(5:19) (Shotgun) J.Winston pass deep right intended for M.Evans INTERCEPTED by M.Williams at NO 45. M.Williams for 55 yards, TOUCHDOWN.	TB	2019	11	2019111706	3706
534	(3:43) J.Winston pass deep right to S.Miller for 49 yards, TOUCHDOWN. The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. J.Winston pass deep right to S.Miller to NO 1 for 48 yards (C.Gardner-Johnson).	TB	2019	11	2019111706	1493
535	(6:57) J.Winston pass deep middle to C.Godwin for 71 yards, TOUCHDOWN.	TB	2019	12	2019112400	537
536	(1:15) J.Winston pass deep right to M.Evans for 61 yards, TOUCHDOWN. TB-M.Evans was injured during the play. His return is Questionable.	TB	2019	14	2019120808	976
537	(:20) (Shotgun) J.Winston pass short right to J.Watson for 8 yards, TOUCHDOWN.	TB	2019	16	2019122100	2351
538	(2:18) E.Watford reported in as eligible.  J.Winston pass deep left to C.McElroy pushed ob at HST 4 for 30 yards (B.Roby).	TB	2019	16	2019122100	2022
539	(:19) (Shotgun) J.Winston pass deep right to B.Perriman for 24 yards, TOUCHDOWN.	TB	2019	17	2019122912	2270
540	(3:21) (Shotgun) M.Ryan sacked at TB 15 for -5 yards (J.Pierre-Paul). FUMBLES (J.Pierre-Paul), RECOVERED by TB-D.White at TB 9. D.White for 91 yards, TOUCHDOWN. The Replay Official reviewed the forward pass ruling, and the play was Upheld. The ruling on the field stands.	TB	2019	17	2019122912	1740
541	(3:11) (Shotgun) B.Mayfield pass short left intended for J.Landry INTERCEPTED by M.Butler at CLV 38. M.Butler for 38 yards, TOUCHDOWN.	TEN	2019	1	2019090801	4040
542	(2:10) M.Mariota pass short left to D.Henry for 75 yards, TOUCHDOWN. The Replay Official reviewed the play for possible offensive pass interference, and the play was Upheld. The ruling on the field stands.	TEN	2019	1	2019090801	3074
543	(8:59) M.Mariota pass deep middle to A.Brown to CLV 20 for 47 yards (D.Randall).	TEN	2019	1	2019090801	398
544	(12:09) D.Quessenberry reported in as eligible.  M.Mariota pass short middle to A.Brown for 55 yards, TOUCHDOWN.	TEN	2019	4	2019092900	258
545	(6:10) D.Henry up the middle for 68 yards, TOUCHDOWN.	TEN	2019	10	2019111007	2578
546	(6:28) (Shotgun) Dam.Williams up the middle to TEN 45 for -1 yards (D.Long). FUMBLES (D.Long), RECOVERED by TEN-R.Evans at TEN 47. R.Evans for 53 yards, TOUCHDOWN.	TEN	2019	10	2019111007	1489
547	(10:51) D.Henry left tackle for 74 yards, TOUCHDOWN.	TEN	2019	12	2019112408	2127
548	(14:16) R.Tannehill pass deep middle to A.Brown for 91 yards, TOUCHDOWN [C.Ferrell].	TEN	2019	14	2019120812	946
549	(8:03) R.Tannehill pass short middle to J.Smith for 41 yards, TOUCHDOWN.	TEN	2019	16	2019122210	405
550	(3:04) D.Henry left guard for 53 yards, TOUCHDOWN.	TEN	2019	17	2019122906	3588
551	(14:19) R.Tannehill pass deep left to A.Brown pushed ob at HST 1 for 47 yards (T.Gipson).	TEN	2019	17	2019122906	2769
552	(2:53) (Shotgun) R.Tannehill pass short left to A.Firkser to TEN 26 for 11 yards (T.Brooks).	TEN	2019	18	2020010401	3580
553	(2:16) D.Henry right tackle ran ob at NE 46 for 29 yards (D.Harmon).	TEN	2019	18	2020010401	1604
554	(5:44) (Shotgun) R.Tannehill pass short middle to A.Firkser for 12 yards, TOUCHDOWN.	TEN	2019	18	2020010401	597
555	(6:59) (Shotgun) D.Henry pass short middle to C.Davis for 3 yards, TOUCHDOWN. Direct snap	TEN	2019	19	2020011101	2458
556	(8:37) D.Henry up the middle to BLT 06 for 66 yards (M.Peters).	TEN	2019	19	2020011101	2388
557	(14:53) R.Tannehill pass deep middle to K.Raymond for 45 yards, TOUCHDOWN.	TEN	2019	19	2020011101	813
558	(3:42) (Shotgun) R.Tannehill pass short left to J.Smith for 12 yards, TOUCHDOWN. The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands.	TEN	2019	19	2020011101	596
559	(8:02) (Shotgun) L.Jackson pass deep middle intended for M.Andrews INTERCEPTED by K.Byard at TEN 19. K.Byard to 50 for 31 yards (L.Jackson). PENALTY on BLT-L.Jackson, Unsportsmanlike Conduct, 15 yards, enforced at 50.	TEN	2019	19	2020011101	385
560	(6:43) R.Tannehill pass short left to D.Kelly for 1 yard, TOUCHDOWN.	TEN	2019	20	2020011900	1469
561	(10:07) C.Keenum pass deep middle to T.McLaurin for 69 yards, TOUCHDOWN.	WAS	2019	1	2019090806	1117
562	(11:08) C.Keenum pass short right to V.Davis for 48 yards, TOUCHDOWN. WAS-V.Davis was injured during the play.	WAS	2019	1	2019090806	193
563	(1:29) (No Huddle, Shotgun) D.Haskins pass short middle intended for J.Sprinkle INTERCEPTED by J.Peppers [D.Tomlinson] at WAS 32. J.Peppers for 32 yards, TOUCHDOWN.	WAS	2019	4	2019092907	2823
564	(9:39) S.Sims right end for 65 yards, TOUCHDOWN. End around	WAS	2019	5	2019100609	431
565	(10:11) (Shotgun) D.Haskins pass short right to D.Guice for 45 yards, TOUCHDOWN.	WAS	2019	11	2019111707	3624
566	(1:22) (Shotgun) D.Haskins pass short middle to T.McLaurin for 13 yards, TOUCHDOWN.	WAS	2019	14	2019120803	3729
567	(1:23) D.Haskins pass short middle to T.McLaurin for 75 yards, TOUCHDOWN.	WAS	2019	15	2019121508	700
